Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarts
,MS & SS Works,2nd Floor,,MS Safety Grill,12mm Square Bar,510.94,SFT,120,61312.8,
,MS & SS Works,2nd Floor,,Varenda Railing with 10mm Tempred Glass,,306.56,SFT,700,214592,
,MS & SS Works,3rd Floor,,MS Grill,12mm Square Bar,363.26,SFT,120,43591.2,
,MS & SS Works,3rd Floor,,MS Safety Grill,12mm Square Bar,513.56,SFT,120,61627.2,
,MS & SS Works,3rd Floor,,Varenda Railing with 10mm Tempred Glass,,308.14,SFT,700,215698,
,MS & SS Works,4th Floor,,MS Grill,12mm Square Bar,363.26,SFT,120,43591.2,
,MS & SS Works,4th Floor,,MS Safety Grill,12mm Square Bar,513.56,SFT,120,61627.2,
,MS & SS Works,4th Floor,,Varenda Railing with 10mm Tempred Glass,,308.14,SFT,700,215698,
,MS & SS Works,5th Floor,,MS Grill,12mm Square Bar,463.39,SFT,120,55606.8,
,MS & SS Works,5th Floor,,MS Safety Grill,12mm Square Bar,420.38,SFT,120,50445.6,
,MS & SS Works,5th Floor,,Varenda Railing with 10mm Tempred Glass,,252.23,SFT,700,176561,
,MS & SS Works,6th Floor,,MS Grill,12mm Square Bar,361.67,SFT,120,43400.4,
,MS & SS Works,6th Floor,,MS Safety Grill,12mm Square Bar,502.13,SFT,120,60255.6,
,MS & SS Works,6th Floor,,Varenda Railing with 10mm Tempred Glass,,301.28,SFT,700,210896,
,MS & SS Works,7th Floor,,MS Grill,12mm Square Bar,463.39,SFT,120,55606.8,
,MS & SS Works,7th Floor,,MS Safety Grill,12mm Square Bar,417.25,SFT,120,50070,
,MS & SS Works,7th Floor,,Varenda Railing with 10mm Tempred Glass,,250.35,SFT,700,175245,
,MS & SS Works,8th Floor,,MS Grill,12mm Square Bar,361.67,SFT,120,43400.4,
,MS & SS Works,8th Floor,,MS Safety Grill,12mm Square Bar,487,SFT,120,58440,
,MS & SS Works,8th Floor,,Varenda Railing with 10mm Tempred Glass,,292.2,SFT,700,204540,
,MS & SS Works,Roof Top,,MS Grill,12mm Square Bar,25,SFT,120,3000,
,MS & SS Works,Roof Top,,MS Safety Grill,12mm Square Bar,,SFT,120,0,
,MS & SS Works,Roof Top,,Varenda Railing with 10mm Tempred Glass,,,SFT,700,0,
,MS & SS Works,Common,,Safety Grill,APCS,"1,266.94",SFT,120,152032.8,
,MS & SS Works,Common,,Stair Grill,,637.31,SFT,120,76477.2,
,MS & SS Works,Common,,Stair Railing,,812.35,SFT,350,284322.5,
,MS & SS Works,Common,,Main Gate & Front Side Grill,,351.68,SFT,350,123088,
,MS & SS Works,Common,,MS Gate,,42,SFT,320,13440,
,MS & SS Works,Common,,Tin for safety Gril,,"1,266.94",SFT,120,152032.8,
,Tiles & Marble Work,Ground Floor,,Bath Wall Tiles,8''X12''RAK,165,sft,38,6270,
,Tiles & Marble Work,Ground Floor,,Bath Floor Tiles,12''X12" RAK,30,sft,55,1650,
,Tiles & Marble Work,Ground Floor,,Kitchen Wall Tiles,8''X12''RAK,115,sft,38,4370,
,Tiles & Marble Work,Ground Floor,,Kitchen Floor Tiles,12''X12" RAK,26,sft,55,1430,
,Tiles & Marble Work,Ground Floor,,Guard Room Floor Tiles,12''X12''  RAK,91,sft,55,5005,
,Tiles & Marble Work,Ground Floor,,Generator Room Floor Tiles,12''X12''  RAK,95,sft,55,5225,
,Tiles & Marble Work,Ground Floor,,Lounge Room Floor Tiles,24''X24''  RAK,84,sft,100,8400,
,Tiles & Marble Work,Ground Floor,,Waiting Room Floor Tiles,16''X16''  RAK,106,sft,80,8480,
,Tiles & Marble Work,Ground Floor,,Pavment Tiles,12"X12" APCS,"2,884.00",sft,28,80752,
,Tiles & Marble Work,Ground Floor,,Marble,,,sft,,0,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Floor Tiles (600X600) (Tiles Fixing Cost),,432,sft,18,7776,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,280,sft,18,5040,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Pavment Tiles (Tiles Fixing Cost),,"2,884.00",sft,16,46144,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Nonschedule Material (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Cost,Nonschedule Labour Bill (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,Cement (Tiles Fixing Materials),Elephent,141.8,bag,405,57429,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,L/Sand (Tiles Fixing Materials),APCS,714.62,cft,20,14292.4,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,18,Kg,60,1080,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,Viksol (Tiles Fixing Materials),APCS,18,lit.,100,1800,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,Alamati (Tiles Fixing Materials),APCS,20,Tk.,150,3000,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,Powder Colour (Tiles Fixing Materials),APCS,50,Tk.,300,15000,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,Markin Kapor (Tiles Fixing Materials),APCS,8,goj.,15,120,
,Tiles & Marble Work,Ground Floor,Tiles Fixing Materials,120 No. Paper (Tiles Fixing Materials),APCS,18,pcs,25,450,
,Tiles & Marble Work,1st Floor,,M. Bath Wall Tiles,12''X18''RAK,410,sft,70,28700,
,Tiles & Marble Work,1st Floor,,M. Bath Floor Tiles,12''X12" RAK,98,sft,70,6860,
,Tiles & Marble Work,1st Floor,,Bath 01 Wall Tiles,12''X18''RAK,342,sft,70,23940,
,Tiles & Marble Work,1st Floor,,Bath 01 Floor Tiles,12''X12" RAK,80,sft,70,5600,
,Tiles & Marble Work,1st Floor,,Bath 02 Wall Tiles,12''X18''RAK,341,sft,70,23870,
,Tiles & Marble Work,1st Floor,,Bath 02 Floor Tiles,12''X12" RAK,72,sft,70,5040,
,Tiles & Marble Work,1st Floor,,Bath 03 Wall Tiles,12''X18''RAK,,sft,70,0,
,Tiles & Marble Work,1st Floor,,Bath 03 Floor Tiles,12''X12" RAK,,sft,70,0,
,Tiles & Marble Work,1st Floor,,Bath 04 Wall Tiles,12''X18''RAK,,sft,,0,
,Tiles & Marble Work,1st Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,1st Floor,,Kitchen Wall Tiles,12''X18''RAK,828,sft,70,57960,
,Tiles & Marble Work,1st Floor,,Kitchen Floor Tiles,12''X12" RAK,265,sft,70,18550,
,Tiles & Marble Work,1st Floor,,Ser. Bath Wall Tiles,08''X12" RAK,190,sft,45,8550,
,Tiles & Marble Work,1st Floor,,Ser. Bath Floor Tiles,12''X12" RAK,32,sft,55,1760,
,Tiles & Marble Work,1st Floor,,Dining Basin Wall tiles,12''X18''RAK,110,sft,70,7700,
,Tiles & Marble Work,1st Floor,,Main Floor Tiles,24''X24''  RAK,"2,589.00",sft,120,310680,
,Tiles & Marble Work,1st Floor,,Ser. Bed Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,1st Floor,,Wash pit wall Tiles,12''X18''RAK,40,sft,70,2800,
,Tiles & Marble Work,1st Floor,,Kitchen Slab (Marble Work),APCS,74,sft,500,37000,
,Tiles & Marble Work,1st Floor,,Basin Slab (Marble Work),APCS,44,sft,500,22000,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Floor Tiles (600X600) (Tiles Fixing Cost),,"3,136.00",sft,18,56448,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,"2,261.00",sft,18,40698,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,118,sft,120,14160,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,1st Floor,Tiles Fixing Cost,Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,Cement (Tiles Fixing Materials),Bashundhara,184.97,bag,405,74912.85,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,L/Sand (Tiles Fixing Materials),APCS,875.78,cft,20,17515.6,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,28,Kg,60,1680,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,Viksol (Tiles Fixing Materials),APCS,28,lit.,100,2800,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,Alamati (Tiles Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,Powder Colour  (Tiles Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,Markin Kapor (Tiles Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,1st Floor,Tiles Fixing Materials,120 No. Paper (Tiles Fixing Materials),APCS,28,pcs,25,700,
,Tiles & Marble Work,2nd Floor,,M. Bath Wall Tiles,10''X13''RAK,410,sft,60,24600,
,Tiles & Marble Work,2nd Floor,,M. Bath Floor Tiles,12''X12" RAK,98,sft,60,5880,
,Tiles & Marble Work,2nd Floor,,Bath 01 Wall Tiles,10''X13''RAK,342,sft,60,20520,
,Tiles & Marble Work,2nd Floor,,Bath 01 Floor Tiles,12''X12" RAK,80,sft,60,4800,
,Tiles & Marble Work,2nd Floor,,Bath 02 Wall Tiles,10''X13''RAK,368,sft,60,22080,
,Tiles & Marble Work,2nd Floor,,Bath 02 Floor Tiles,12''X12" RAK,72,sft,60,4320,
,Tiles & Marble Work,2nd Floor,,Bath 03 Wall Tiles,10''X13''RAK,,sft,60,0,
,Tiles & Marble Work,2nd Floor,,Bath 03 Floor Tiles,12''X12" RAK,,sft,60,0,
,Tiles & Marble Work,2nd Floor,,Bath 04 Wall Tiles,10''X13''RAK,,sft,,0,
,Tiles & Marble Work,2nd Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,2nd Floor,,Kitchen Wall Tiles,10''X13''RAK,828,sft,60,49680,
,Tiles & Marble Work,2nd Floor,,Kitchen Floor Tiles,12''X12" RAK,265,sft,60,15900,
,Tiles & Marble Work,2nd Floor,,Ser. Bath Wall Tiles,08''X12" RAK,190,sft,45,8550,
,Tiles & Marble Work,2nd Floor,,Ser. Bath Floor Tiles,12''X12" RAK,32,sft,55,1760,
,Tiles & Marble Work,2nd Floor,,Dining Basin Wall tiles,10''X13''RAK,110,sft,60,6600,
,Tiles & Marble Work,2nd Floor,,Main Floor Tiles,24''X24''  RAK,"2,640.00",sft,100,264000,
,Tiles & Marble Work,2nd Floor,,Ser. Bed Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,2nd Floor,,Wash pit wall Tiles,10''X13''RAK,40,sft,60,2400,
,Tiles & Marble Work,2nd Floor,,Kitchen Slab (Marble Work),APCS,74,sft,500,37000,
,Tiles & Marble Work,2nd Floor,,Basin Slab (Marble Work),APCS,44,sft,500,22000,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Floor Tiles (600X600) (Tiles Fixing Cost),,"3,187.00",sft,18,57366,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Wall Tiles (300X600) (Tiles Fixing Cost),,"2,288.00",sft,18,41184,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Marble Work (Tiles Fixing Cost),,118,sft,120,14160,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Cost),Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),Cement (Tiles Fixing Materials),Bashundhara,187.71,bag,405,76022.55,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),L/Sand (Tiles Fixing Materials),APCS,888.9,cft,20,17778,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,28,Kg,60,1680,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),Viksol (Tiles Fixing Materials),APCS,28,lit.,100,2800,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),Alamati (Tiles Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),Powder Colour  (Tiles Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),Markin Kapor (Tiles Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,2nd Floor,(Tiles Fixing Materials),120 No. Paper (Tiles Fixing Materials),APCS,28,pcs,25,700,
,Tiles & Marble Work,3rd Floor,,M. Bath Wall Tiles,10''X13''RAK,410,sft,60,24600,
,Tiles & Marble Work,3rd Floor,,M. Bath Floor Tiles,12''X12" RAK,98,sft,60,5880,
,Tiles & Marble Work,3rd Floor,,Bath 01 Wall Tiles,10''X13''RAK,342,sft,60,20520,
,Tiles & Marble Work,3rd Floor,,Bath 01 Floor Tiles,12''X12" RAK,80,sft,60,4800,
,Tiles & Marble Work,3rd Floor,,Bath 02 Wall Tiles,10''X13''RAK,368,sft,60,22080,
,Tiles & Marble Work,3rd Floor,,Bath 02 Floor Tiles,12''X12" RAK,72,sft,60,4320,
,Tiles & Marble Work,3rd Floor,,Bath 03 Wall Tiles,10''X13''RAK,,sft,60,0,
,Tiles & Marble Work,3rd Floor,,Bath 03 Floor Tiles,12''X12" RAK,,sft,60,0,
,Tiles & Marble Work,3rd Floor,,Bath 04 Wall Tiles,10''X13''RAK,,sft,,0,
,Tiles & Marble Work,3rd Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,3rd Floor,,Kitchen Wall Tiles,10''X13''RAK,828,sft,60,49680,
,Tiles & Marble Work,3rd Floor,,Kitchen Floor Tiles,12''X12" RAK,265,sft,60,15900,
,Tiles & Marble Work,3rd Floor,,Ser. Bath Wall Tiles,08''X12" RAK,190,sft,45,8550,
,Tiles & Marble Work,3rd Floor,,Ser. Bath Floor Tiles,12''X12" RAK,32,sft,55,1760,
,Tiles & Marble Work,3rd Floor,,Dining Basin Wall tiles,10''X13''RAK,110,sft,60,6600,
,Tiles & Marble Work,3rd Floor,,Main Floor Tiles,24''X24''  RAK,"2,639.00",sft,100,263900,
,Tiles & Marble Work,3rd Floor,,Ser. Bed Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,3rd Floor,,Wash pit wall Tiles,10''X13''RAK,40,sft,60,2400,
,Tiles & Marble Work,3rd Floor,,Kitchen Slab (Marble Work),APCS,74,sft,500,37000,
,Tiles & Marble Work,3rd Floor,,Basin Slab (Marble Work),APCS,44,sft,500,22000,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Cost),Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,3rd Floor,Tiles Fixing Cost,Floor Tiles (600X600) (Tiles Fixing Cost),,"3,186.00",sft,18,57348,
,Tiles & Marble Work,3rd Floor,Tiles Fixing Cost,Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,3rd Floor,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,"2,288.00",sft,18,41184,
,Tiles & Marble Work,3rd Floor,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,3rd Floor,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,118,sft,120,14160,
,Tiles & Marble Work,3rd Floor,Tiles Fixing Cost,Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,3rd Floor,Tiles Fixing Cost,Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),Cement (Tiles Fixing Materials),Bashundhara,187.71,bag,405,76022.55,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),L/Sand (Tiles Fixing Materials),APCS,888.9,cft,20,17778,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,28,Kg,60,1680,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),Viksol (Tiles Fixing Materials),APCS,28,lit.,100,2800,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),Alamati (Tiles Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),Powder Colour (Tiles Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),Markin Kapor (Tiles Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,3rd Floor,(Tiles Fixing Materials),120 No. Paper (Tiles Fixing Materials),APCS,28,pcs,25,700,
,Tiles & Marble Work,4th Floor,,M. Bath Wall Tiles,10''X13''RAK,410,sft,60,24600,
,Tiles & Marble Work,4th Floor,,M. Bath Floor Tiles,12''X12" RAK,98,sft,60,5880,
,Tiles & Marble Work,4th Floor,,Bath 01 Wall Tiles,10''X13''RAK,342,sft,60,20520,
,Tiles & Marble Work,4th Floor,,Bath 01 Floor Tiles,12''X12" RAK,80,sft,60,4800,
,Tiles & Marble Work,4th Floor,,Bath 02 Wall Tiles,10''X13''RAK,368,sft,60,22080,
,Tiles & Marble Work,4th Floor,,Bath 02 Floor Tiles,12''X12" RAK,72,sft,60,4320,
,Tiles & Marble Work,4th Floor,,Bath 03 Wall Tiles,10''X13''RAK,,sft,60,0,
,Tiles & Marble Work,4th Floor,,Bath 03 Floor Tiles,12''X12" RAK,,sft,60,0,
,Tiles & Marble Work,4th Floor,,Bath 04 Wall Tiles,10''X13''RAK,,sft,,0,
,Tiles & Marble Work,4th Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,4th Floor,,Kitchen Wall Tiles,10''X13''RAK,828,sft,60,49680,
,Tiles & Marble Work,4th Floor,,Kitchen Floor Tiles,12''X12" RAK,265,sft,60,15900,
,Tiles & Marble Work,4th Floor,,Ser. Bath Wall Tiles,08''X12" RAK,190,sft,45,8550,
,Tiles & Marble Work,4th Floor,,Ser. Bath Floor Tiles,12''X12" RAK,32,sft,55,1760,
,Tiles & Marble Work,4th Floor,,Dining Basin Wall tiles,10''X13''RAK,110,sft,60,6600,
,Tiles & Marble Work,4th Floor,,Main Floor Tiles,24''X24''  RAK,"2,639.00",sft,100,263900,
,Tiles & Marble Work,4th Floor,,Ser. Bed Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,4th Floor,,Wash pit wall Tiles,10''X13''RAK,40,sft,60,2400,
,Tiles & Marble Work,4th Floor,,Kitchen Slab (Marble Work),APCS,74,sft,500,37000,
,Tiles & Marble Work,4th Floor,,Basin Slab (Marble Work),APCS,44,sft,500,22000,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Floor Tiles (600X600) (Tiles Fixing Cost),,"3,186.00",sft,18,57348,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Floor Tiles (800X800),,,sft,,0,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,"2,288.00",sft,18,41184,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,118,sft,120,14160,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Nonschedule Material,,,,,0,
,Tiles & Marble Work,4th Floor,Tiles Fixing Cost,Nonschedule Labour Bill,,,,,0,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,Cement (Tiles Fixing Materials),Bashundhara,187.71,bag,405,76022.55,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,L/Sand (Tiles Fixing Materials),APCS,888.9,cft,20,17778,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,28,Kg,60,1680,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,Viksol (Tiles Fixing Materials),APCS,28,lit.,100,2800,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,Alamati (Tiles Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,Powder Colour (Tiles Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,Markin Kapor (Tiles Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,4th Floor,Tiles Fixing Materials,120 No. Paper (Tiles Fixing Materials),APCS,28,pcs,25,700,
,Tiles & Marble Work,5th Floor,,M. Bath Wall Tiles,12''X18''RAK,238,sft,70,16660,
,Tiles & Marble Work,5th Floor,,M. Bath Floor Tiles,12''X12" RAK,58,sft,70,4060,
,Tiles & Marble Work,5th Floor,,Bath 01 Wall Tiles,12''X18''RAK,284,sft,70,19880,
,Tiles & Marble Work,5th Floor,,Bath 01 Floor Tiles,12''X12" RAK,54,sft,70,3780,
,Tiles & Marble Work,5th Floor,,Bath 02 Wall Tiles,12''X18''RAK,195,sft,70,13650,
,Tiles & Marble Work,5th Floor,,Bath 02 Floor Tiles,12''X12" RAK,48,sft,70,3360,
,Tiles & Marble Work,5th Floor,,Bath 03 Wall Tiles,12''X18''RAK,188,sft,70,13160,
,Tiles & Marble Work,5th Floor,,Bath 03 Floor Tiles,12''X12" RAK,49,sft,70,3430,
,Tiles & Marble Work,5th Floor,,Bath 04 Wall Tiles,12''X18''RAK,,sft,,0,
,Tiles & Marble Work,5th Floor,,Bath 04 Floor Tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,5th Floor,,Kitchen Wall Tiles,12''X18''RAK,521,sft,70,36470,
,Tiles & Marble Work,5th Floor,,Kitchen Floor Tiles,12''X12" RAK,268,sft,70,18760,
,Tiles & Marble Work,5th Floor,,Ser. Bath Wall Tiles,08''X12" RAK,138,sft,45,6210,
,Tiles & Marble Work,5th Floor,,Ser. Bath Floor Tiles,12''X12" RAK,22,sft,55,1210,
,Tiles & Marble Work,5th Floor,,Dining Basin Wall tiles,12''X18''RAK,79,sft,70,5530,
,Tiles & Marble Work,5th Floor,,Main Floor Tiles,24''X24''  RAK,"2,416.00",sft,120,289920,
,Tiles & Marble Work,5th Floor,,Kitchen Ver. Floor tiles,12''X12" RAK,,sft,,0,
,Tiles & Marble Work,5th Floor,,Ser. Bed Floor Tiles,12''X18''RAK,,sft,,0,
,Tiles & Marble Work,5th Floor,,Wash pit wall Tiles,08''X12" RAK,20,sft,70,1400,
,Tiles & Marble Work,5th Floor,Marble Work,Kitchen Slab (Marble Work),APCS,32,sft,500,16000,
,Tiles & Marble Work,5th Floor,Marble Work,Basin Slab (Marble Work),APCS,21,sft,500,10500,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Floor Tiles (300X300) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Floor Tiles (600X600) (Tiles Fixing Cost),,"2,915.00",sft,18,52470,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Floor Tiles (800X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Wall Tiles (300X600) (Tiles Fixing Cost),,"1,663.00",sft,18,29934,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Wall Tiles (300X800) (Tiles Fixing Cost),,,sft,,0,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Marble Work (Tiles Fixing Cost),,53,sft,120,6360,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Nonschedule Material (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,5th Floor,Tiles Fixing Cost,Nonschedule Labour Bill (Tiles Fixing Cost),,,,,0,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,Cement (Tiles Fixing Materials),Bashundhara,160.23,bag,405,64893.15,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,L/Sand (Tiles Fixing Materials),APCS,766.98,cft,20,15339.6,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,Putting (Con Mix) (Tiles Fixing Materials),Mirpur Ceramic,24,Kg,60,1440,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,Viksol (Tiles Fixing Materials),APCS,24,lit.,100,2400,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,Alamati (Tiles Fixing Materials),APCS,50,Tk.,150,7500,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,Powder Colour (Tiles Fixing Materials),APCS,100,Tk.,300,30000,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,Markin Kapor (Tiles Fixing Materials),APCS,10,goj.,15,150,
,Tiles & Marble Work,5th Floor,Tiles Fixing Materials,120 No. Paper (Tiles Fixing Materials),APCS,24,pcs,25,600,
,Tiles & Marble Work,6th Floor,,M. Bath Wall Tiles,12''X18''RAK,238,sft,70,16660,
,Tiles & Marble Work,6th Floor,,M. Bath Floor Tiles,12''X12" RAK,57,sft,70,3990,
,Tiles & Marble Work,6th Floor,,Bath 01 Wall Tiles,12''X18''RAK,284,sft,70,19880,
,Tiles & Marble Work,6th Floor,,Bath 01 Floor Tiles,12''X12" RAK,54,sft,70,3780,
,Tiles & Marble Work,6th Floor,,Bath 02 Wall Tiles,12''X18''RAK,195,sft,70,13650,
,Tiles & Marble Work,6th Floor,,Bath 02 Floor Tiles,12''X12" RAK,48,sft,70,3360,
,Tiles & Marble Work,6th Floor,,Bath 03 Wall Tiles,12''X18''RAK,188,sft,70,13160,
